first,tempo,scale,chroma_stft,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,rmse,dance,percentile_10,percentile_90,dynam_comp
46,1.0,1.0,0.27314592083351985,0.18899459058862142,0.2554675503705758,0.23463424252073087,0.2496149439137257,0.22041546353140928,0.580255363728441,0.23859777846022132,0.1245577119368608,0.09268404644904088
47,0.0,0.0,0.2684785786512261,0.11351108008993793,0.17038958738837454,0.17657783200776137,0.21234821398281073,0.1535265952457505,0.4577818908499112,0.14625561405448018,0.1402496268667721,0.3212173283497507
48,0.25,1.0,0.23660659958170155,0.5009581040794961,0.6509426259972309,0.6239008801683779,0.6627044003411946,0.14710847823518752,0.3617070059366164,0.04428229249160017,0.14407028799865232,0.3975785166423695
49,0.5,0.0,0.24129348842028758,0.08398764385102966,0.03643037584638639,0.06911110132586448,0.05334272434042132,0.7888841236388993,0.33733536601898134,0.582639864661546,0.7974834694510448,0.09903729443720165
50,0.75,1.0,0.4637784695472553,0.08256151354911445,0.08097367002733027,0.09374998887116945,0.10653255109289593,0.6601720707071533,0.2231244880457091,0.485143392678027,0.6739945321753139,0.15337690919847355
51,1.0,0.0,0.4123412333351621,0.11420024921430384,0.13591788157405246,0.13062072804994315,0.10802697395409908,0.48937635408253316,0.035785190082771076,0.23250479301982743,0.717055462085044,0.3048662763078792
52,0.0,1.0,0.2006263547356607,0.09683080146776037,0.09831435643079273,0.11353971787751344,0.12412035455013978,0.32750147460691065,0.12467221143890811,0.14458365948373367,0.40017998437637836,0.42166707337962067
53,0.25,0.0,0.05081352973309165,0.1306046229050932,0.15204097566521793,0.17035040587666625,0.17932726143814812,0.34491246910494455,0.180758832558026,0.2018824601507992,0.35560245491762044,0.2533853626923791
54,0.5,1.0,0.6467020692342565,0.18742012007526174,0.31408769826779387,0.3658332463287172,0.41244506697520533,0.40273434984368967,0.3620458618793027,0.19657585289569862,0.48096313246874783,0.7216290384967067
55,0.75,0.0,0.32970259447182726,0.22819204863257792,0.5354730101305308,0.4626928854872243,0.6299684091448176,0.6155948739886574,0.06845486302716033,0.3751133127054211,0.6253946310895521,0.1931803219012929
56,1.0,1.0,0.7480030358269192,0.053869622440621524,0.07375616377355346,0.0823634222202018,0.12048192655457184,0.6041328513141402,0.4210125335073064,0.5597194494183625,0.5405087234116868,0.09336836133563893
