first,tempo,scale,chroma_stft,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,rmse,dance,percentile_10,percentile_90,dynam_comp
52,60,1,0.3168297708034515,0.01672162210551444,997.0967419419252,652.7403408623073,1034.86875357822,0.06811808794736862,0.8372392058372498,21.77395858764648,112.3156692504883,6.016978740692139
53,80,0,0.2743443846702576,0.01919826980339936,1317.982403670107,818.7931305772687,1189.594714769626,0.07027138769626617,0.8669544458389282,29.80903377532959,103.2919502258301,4.299349784851073
54,100,1,0.4433322846889496,0.02336457270553838,2285.816794781261,1390.172780106453,1842.943698905291,0.07742249220609665,0.96300208568573,29.06488227844239,128.6684020996094,9.07865047454834
55,120,0,0.3534344732761383,0.02635439436925414,3608.054696704856,1673.285234109729,2452.586768875419,0.1037479564547539,0.8074547052383423,54.10139083862305,157.9053131103516,3.684844970703125
56,140,1,0.4720602035522461,0.01357126183806856,850.4213692131482,561.614690932628,1024.671492029371,0.102330394089222,0.9942432045936584,79.98891677856446,140.7220687866211,2.666077613830566
57,60,0,0.3199545443058014,0.01429270270078483,545.3195681039255,445.9801348550355,807.6688397829398,0.07645066827535629,0.881270706653595,31.05114974975586,110.9436706542969,4.903176784515381
58,80,1,0.3499190211296081,0.01792804660828262,1261.845703125,738.0493361868934,1065.994725445103,0.06719370931386948,0.9257211089134216,20.04351501464843,105.2652420043946,4.850568771362305
59,100,0,0.3561480939388275,0.01907113438238771,1390.399511130111,797.5650661294411,1147.613477750428,0.06333497911691666,0.8921284675598145,24.53969154357911,84.35855102539062,4.189397811889648
60,120,1,0.4520291984081268,0.02016413037444139,1955.514639872113,1194.338114591689,1713.422275858415,0.07909821718931198,0.9513499140739441,33.54675483703613,132.913720703125,5.504372596740723
61,140,0,0.3462153971195221,0.02909745244496553,2869.027713908878,1466.943322543016,1955.088006455215,0.08471545577049255,0.8185009360313416,36.21996688842773,153.9871826171875,4.492595195770264
62,60,1,0.4395138621330261,0.01360019194070918,953.8164178069528,604.8646256113864,1082.150424744204,0.05106798186898232,1.023446321487427,22.73131828308106,65.28556213378906,3.628597497940064
63,80,0,0.4865520596504211,0.0141088956141247,1228.844353601284,700.1164284510443,1178.708657426371,0.05693972110748291,0.9909223914146424,30.73481140136719,67.51122283935547,3.130680561065674
64,100,1,0.4119580388069153,0.01868017321871277,1635.242260443496,907.1123431689643,1389.704505193931,0.0595870167016983,0.8956690430641174,21.31335849761963,77.23624801635742,3.108112573623657
65,120,0,0.5171853899955751,0.01758750918546153,2189.318246043707,1163.589131904622,1808.254135507194,0.07101654261350633,1.113711357116699,45.68705139160156,91.12980651855469,3.241111278533936
66,140,1,0.3675580024719238,0.03130781742401138,5216.718745235506,2207.435793487731,3115.648377251631,0.08034622669219971,0.948035717010498,50.13679122924805,100.6247024536133,2.310497760772705
67,140,0,0.5077294707298279,0.0186770346159297,1544.059124860511,789.770330704783,1101.021293818246,0.06662067025899887,0.8712158203125,16.69088745117188,92.57100677490234,3.741368770599365
68,80,1,0.3696008026599884,0.01832918612735985,1465.12226515266,810.8750710255507,1194.494638802925,0.04913903027772903,0.9836987257003784,23.84634876251221,54.2652359008789,3.475663423538208
69,100,0,0.3724842965602875,0.03422591813079551,3014.662447391428,1735.942016232074,2095.713012214508,0.0580727681517601,1.025865435600281,17.74335098266602,75.5988998413086,5.428786754608153
70,120,1,0.4261810779571533,0.02052933025491712,1785.142507278903,942.2167192734372,1390.220663132614,0.05320033431053162,0.9428794384002686,25.0455738067627,61.42079620361328,3.112089872360228
71,140,0,0.4031281769275665,0.0240045034243694,2053.483235041728,1063.167946897525,1388.053650032214,0.04745006188750267,0.9422007203102112,11.94366550445556,61.04751205444336,4.014020919799806
72,60,1,0.3028424978256226,0.02573572418385344,2636.574247993449,1365.502097594991,1757.903119825344,0.03889768570661545,1.069312691688538,21.11024265289307,41.74103622436525,3.597450733184814
73,80,0,0.3790572285652161,0.03247552233586852,2359.620444984703,1508.319191939807,1866.987273033641,0.03149022907018661,0.9208961725234984,3.422386980056763,40.24648208618164,6.630661010742188
74,100,1,0.3866943418979645,0.03498183164565682,3081.592636327006,1760.583161161075,2209.257526243489,0.03401802107691765,1.086409449577332,9.342418479919434,43.94646911621093,5.937733173370361
75,120,0,0.4169713854789734,0.06087867309458218,4433.41436711245,2888.098371671817,3229.43528434584,0.03442893549799918,0.8567307591438293,2.367010831832886,45.90998458862305,9.434915542602539
76,140,1,0.3489999771118164,0.01952520802741067,1187.536760657302,776.2942681190497,1270.268060009297,0.1417485922574997,0.9520519971847534,80.62063980102539,209.255827331543,2.602991104125977
