number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
21,supercollider/SC_200329_170042.aiff,172.265625,0.0,0.4085991226529581,0.025631080090053777,1692.1424935409395,1052.6926438286823,1325.8650698822103,0.2115176127497993,1.8705520344773297,281.5873319946182,278.09454034986766,1.2922255715213422
22,supercollider/SC_200329_170429.aiff,86.1328125,1.0,0.3705738272061912,0.02305182431967488,1451.9798405530964,948.2236258046792,1305.6833560509835,0.12252550434978024,1.5932561610869893,126.54303112374723,156.08379297352894,2.4841645785729116
23,supercollider/SC_200330_163202.aiff,107.666015625,0.0,0.40172104892329685,0.024928890922108874,1637.594504618989,957.1607926949266,1218.593019466854,0.15273403892510068,1.6320356436869656,175.39159850759435,187.87693569150326,2.0790184119861603
24,supercollider/SC_200330_163717.aiff,129.19921875,1.0,0.3638577483123469,0.03479242948631969,2743.661510751425,1453.8959985024903,1772.2867607673209,0.15523498290487836,2.3010522443876917,187.44963065985513,188.0391366564463,1.2098672741280643
25,supercollider/SC_200330_164249.aiff,150.732421875,0.0,0.32891902198572825,0.04577207882855236,3195.6508087049724,1810.5559159753577,2103.9950847304663,0.16296052460906502,1.2184129604893656,173.09636968875552,222.13487216406224,1.7515278639936773
26,supercollider/SC_200330_164513.aiff,172.265625,1.0,0.3334320742938839,0.05250009789948402,5224.944628325831,2566.1071863066118,2898.9108645064107,0.16615377232492407,1.9685034985842362,178.42675254671437,237.57683820276782,1.571231212960293
27,supercollider/SC_200330_165026.aiff,86.1328125,0.0,0.27413164624241454,0.16051834103918447,11476.32151392326,5378.774869152027,4683.899040432914,0.04444201468134753,1.4553078227222558,18.807410655444215,61.99193824642752,5.211319188704098
28,supercollider/SC_200330_165358.aiff,107.666015625,1.0,0.28640373527908913,0.017840176700751168,766.5054276337249,664.8468980298057,781.7040905275184,0.2000167637585156,1.2773847980079087,238.7014843811961,321.05536603861367,2.089082690557466
29,supercollider/SC_200330_165741.aiff,129.19921875,0.0,0.32593161021412786,0.019219986501545758,1044.0679350790692,743.0679041149464,819.6770040241779,0.290794601129727,1.2867634909658454,325.02837188639654,460.28489218923767,1.1068754237714489
30,supercollider/SC_200330_170107.aiff,150.732421875,1.0,0.5063549063267905,0.013239480003890573,1140.8234508178994,639.713356363468,666.0912042882991,0.3249181320623353,1.3072415718044796,320.9677488671677,539.3651869090345,1.5088192394830302
31,supercollider/SC_200330_170530.aiff,172.265625,0.0,0.44497268986293514,0.019379551087478263,1609.9025065320693,948.9546373374758,955.5494959159287,0.30541985512547687,1.3413994036862653,336.7733100719719,457.238167346865,2.1674070874008042
32,supercollider/SC_200330_170812.aiff,86.1328125,1.0,0.30694927203406996,0.009732821422797501,966.3459734861734,730.0515991848099,935.6763385813434,0.18305804457153924,1.7912759968702412,232.36615617283772,222.40744793686952,1.7993295855104616
33,supercollider/SC_200330_171117.aiff,107.666015625,0.0,0.27314507705600355,0.01911682108345267,2019.914950595503,1171.7781541342451,1314.7837016468975,0.20945566356076636,1.274765719209689,198.989416542872,355.4986547120666,2.079850972663573
34,supercollider/SC_200330_171429.aiff,129.19921875,1.0,0.33527566838876427,0.026720312120582512,5869.895053563665,2522.42947878619,3202.2992294698724,0.25782822013122814,1.2536500756207287,272.90580766400683,407.73512752805084,1.703121057394403
35,supercollider/SC_200330_171738.aiff,150.732421875,0.0,0.46090415969557896,0.011508698573935647,607.1946028555589,485.321740892783,771.241789384173,0.28602827241295053,1.5824375181673749,325.083735869164,428.288036444358,1.3714967723408753
